Weekly Schedule,Day,Day of Week,Muscle Group,Exercise,Week,Sets,Reps,Load,RPE
5 Days Per Week,Day 5,Friday,BICEPS,DB Curl,1-2,3,10-12,N/A,8
5 Days Per Week,Day 5,Friday,BICEPS,DB Curl,3-4,3,8-10,N/A,8
5 Days Per Week,Day 5,Friday,BICEPS,DB Curl,5-6,3,6-8,N/A,9
5 Days Per Week,Day 5,Friday,BICEPS,DB Curl,7-8,3,6,N/A,9
5 Days Per Week,Day 5,Friday,TRICEPS,Dips,1-2,3,10-12,N/A,8
5 Days Per Week,Day 5,Friday,TRICEPS,Dips,3-4,3,8-10,N/A,8
5 Days Per Week,Day 5,Friday,TRICEPS,Dips,5-6,3,6-8,N/A,9
5 Days Per Week,Day 5,Friday,TRICEPS,Dips,7-8,3,6,N/A,9
5 Days Per Week,Day 5,Friday,GLUTEs,Glute Bridge,1-2,3,10-12,N/A,8
5 Days Per Week,Day 5,Friday,GLUTEs,Glute Bridge,3-4,3,8-10,N/A,8
5 Days Per Week,Day 5,Friday,GLUTEs,Glute Bridge,5-6,3,6-8,N/A,9
5 Days Per Week,Day 5,Friday,GLUTEs,Glute Bridge,7-8,3,6,N/A,9
5 Days Per Week,Day 5,Friday,ABS,Ab Rollout,1-8,3,15-20,N/A,8
5 Days Per Week,Day 5,Friday,QUADS COMPOUND,Seated Calf Raise,1-2,3,15-20,N/A,8
5 Days Per Week,Day 5,Friday,QUADS COMPOUND,Seated Calf Raise,3-4,3,12-15,N/A,8
5 Days Per Week,Day 5,Friday,QUADS COMPOUND,Seated Calf Raise,5-6,3,10-12,N/A,9
5 Days Per Week,Day 5,Friday,QUADS COMPOUND,Seated Calf Raise,7-8,3,10,N/A,9
5 Days Per Week,Day 5,Friday,QUADS COMPOUND,BB Calf Raise,1-2,3,15-20,N/A,8
5 Days Per Week,Day 5,Friday,QUADS COMPOUND,BB Calf Raise,3-4,3,12-15,N/A,8
5 Days Per Week,Day 5,Friday,QUADS COMPOUND,BB Calf Raise,5-6,3,10-12,N/A,9
5 Days Per Week,Day 5,Friday,QUADS COMPOUND,BB Calf Raise,7-8,3,10,N/A,9
